Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,6,0025-0737-0755,742,726,26,22,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,7,0025-0785-0777,768,774,18,22,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,8,0025-0833-0781,770,824,22,18,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,9,0025-0892-0739,728,880,22,24,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,10,0025-0882-0702,690,872,24,20,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,11,0025-0950-0704,686,932,36,36,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,12,0025-0880-0795,784,868,22,24,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,13,0025-1087-0876,864,1076,24,22,25,B,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,14,0025-0668-0397,380,650,34,36,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,15,0025-0587-0262,248,576,28,22,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,16,0025-0667-0129,120,654,18,26,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,17,0025-0916-0255,246,902,18,28,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,18,0025-1010-0331,312,986,38,48,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,19,0025-1264-0249,236,1256,26,16,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,20,0025-1172-0700,688,1160,24,24,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,21,0025-0619-0417,402,606,30,26,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,22,0025-0899-1207,1192,880,30,38,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,23,0025-0988-1250,1240,970,20,36,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,24,0025-1140-1004,990,1126,28,28,25,F,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,25,0025-1248-1009,996,1234,26,28,25,B,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,26,0025-0541-0915,906,528,18,26,25,N,1,,,,,,,
ROI__Seq01_9.00s.tif.csv,Seq01,9.00s,27,0025-0264-0921,906,252,30,24,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,0,0025-0581-0710,696,556,28,50,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,1,0025-0647-0811,802,632,18,30,25,B,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,2,0025-0503-0830,818,490,24,26,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,3,0025-0917-0702,690,902,24,30,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,4,0025-0805-0467,458,792,18,26,25,N,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,5,0025-0738-0965,958,726,14,24,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,6,0025-0715-0937,926,702,22,26,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,7,0025-0586-0392,380,570,24,32,25,N,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,8,0025-0773-0395,382,762,26,22,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,9,0025-0508-0727,720,496,14,24,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,10,0025-0496-0764,756,486,16,20,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,11,0025-0457-0660,650,442,20,30,25,N,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,12,0025-0378-0702,686,360,32,36,25,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,13,0030-0788-0810,794,778,32,20,30,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,14,0032-0958-0955,942,948,26,20,32,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,15,0032-0929-0923,914,918,18,22,32,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,16,0031-0926-1173,1162,914,22,24,31,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,17,0034-0964-0865,850,944,30,40,34,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,18,0034-0977-0582,568,966,28,22,34,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,19,0034-1014-0521,504,996,34,36,34,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,20,0035-1200-0748,736,1186,24,28,35,B,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,21,0035-1059-0966,956,1044,20,30,35,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,22,0043-0675-0781,770,660,22,30,43,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,23,0043-0703-0626,612,692,28,22,43,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,24,0043-0546-0831,820,532,22,28,43,B,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,25,0048-0790-0903,888,774,30,32,48,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,26,0047-0688-0917,904,672,26,32,47,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,27,0050-0648-0774,754,632,40,32,50,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,28,0050-0736-0672,662,722,20,28,50,B,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,29,0050-0798-0621,608,786,26,24,50,F,1,,,,,,,
ROI__Seq02_0.00s.tif.csv,Seq02,0.00s,30,0050-0561-0500,488,540,24,42,50,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,0,0026-0561-0873,854,548,38,26,26,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,1,0028-0441-0454,430,424,48,34,28,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,2,0028-0481-0573,552,460,42,42,28,N,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,3,0028-0766-0709,696,746,26,40,28,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,4,0028-0699-0659,638,684,42,30,28,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,5,0027-0799-0787,778,788,18,22,27,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,6,0027-0856-0808,794,842,28,28,27,N,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,7,0028-1010-0635,624,994,22,32,28,B,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,8,0029-0522-1131,1126,500,10,44,29,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,9,0030-0726-1117,1096,712,42,28,30,B,1,,,,,,,
