Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,5,0462-0755,740,450,30,24,0,A,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,6,0648-0531,522,638,18,20,0,B,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,7,0697-0319,306,688,26,18,0,A,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,8,0767-0388,376,752,24,30,0,A,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,9,0860-0369,350,844,38,32,0,B,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,10,0755-0841,828,740,26,30,0,A,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,11,0930-0846,826,906,40,48,0,B,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,12,1050-0773,750,1036,46,28,0,A,1,,,
ROI_20240703_191751_706_Seq01_14.25s.tif.csv,Seq01,14.25s,13,0784-1059,1048,768,22,32,0,A,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,0,0458-0405,390,446,30,24,0,B,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,1,0510-0442,432,502,20,16,0,A,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,2,0496-0638,622,480,32,32,0,B,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,3,0475-0764,748,462,32,26,0,A,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,4,0588-0687,672,576,30,24,0,F,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,5,0770-0413,392,750,42,40,0,A,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,6,0810-0332,312,798,40,24,0,B,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,7,0780-0269,256,768,26,24,0,B,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,8,0761-0312,302,748,20,26,0,B,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,9,0973-0634,622,956,24,34,0,B,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,10,1151-0551,534,1142,34,18,0,N,1,,,
ROI_20240703_191751_706_Seq01_28.50s.tif.csv,Seq01,28.50s,11,0773-0857,840,756,34,34,0,A,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,0,0189-0337,316,176,42,26,0,F,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,1,0441-0383,374,422,18,38,0,F,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,2,0447-0833,816,432,34,30,0,B,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,3,0472-0751,734,450,34,44,0,A,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,4,0840-0527,516,822,22,36,0,B,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,5,0926-0427,412,914,30,24,0,B,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,6,0967-0529,514,956,30,22,0,F,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,7,0629-0646,638,616,16,26,0,F,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,8,0648-0718,710,636,16,24,0,F,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,9,0676-1075,1054,658,42,36,0,I,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,10,0772-1059,1050,758,18,28,0,A,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,11,0874-0823,810,862,26,24,0,A,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,12,1010-0952,944,998,16,24,0,B,1,,,
ROI_20240703_191751_706_Seq01_42.75s.tif.csv,Seq01,42.75s,13,0980-1007,990,966,34,28,0,F,1,,,
ROI_20240703_191751_706_Seq01_57.00s.tif.csv,Seq01,57.00s,0,0515-0487,474,502,26,26,0,,1,,,
ROI_20240703_191751_706_Seq01_57.00s.tif.csv,Seq01,57.00s,1,0428-0459,446,418,26,20,0,,1,,,
ROI_20240703_191751_706_Seq01_57.00s.tif.csv,Seq01,57.00s,2,0318-0638,622,302,32,32,0,,1,,,
ROI_20240703_191751_706_Seq01_57.00s.tif.csv,Seq01,57.00s,3,0412-0653,644,398,18,28,0,,1,,,
ROI_20240703_191751_706_Seq01_57.00s.tif.csv,Seq01,57.00s,4,0438-0630,620,422,20,32,0,,1,,,
ROI_20240703_191751_706_Seq01_57.00s.tif.csv,Seq01,57.00s,5,0467-0755,740,452,30,30,0,,1,,,
ROI_20240703_191751_706_Seq01_57.00s.tif.csv,Seq01,57.00s,6,0572-0721,710,558,22,28,0,,1,,,
