 ,Label,Area,Mean,Min,Max,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
172,image161.tif,62,255,255,255,10.146,7.781,124.677,10.817,997,136,123.690,8.497
173,image161.tif,73,255,255,255,10.874,8.548,87.970,11.402,726,157,74.745,8.000
174,image161.tif,60,255,255,255,8.781,8.700,30.856,10.198,178,210,11.310,9.000
175,image161.tif,50,255,255,255,10.053,6.333,4.421,10.440,869,215,16.699,6.000
176,image161.tif,59,255,255,255,9.423,7.972,39.868,10.296,508,262,29.055,8.485
177,image161.tif,66,255,255,255,9.769,8.602,48.294,10.817,279,276,33.690,9.000
178,image161.tif,52,255,255,255,8.494,7.795,72.510,9.487,33,276,108.435,8.000
179,image161.tif,62,255,255,255,9.255,8.529,45.004,10.000,596,303,36.870,9.000
180,image161.tif,50,255,255,255,8.157,7.804,70.134,8.944,308,310,116.565,8.000
181,image161.tif,67,255,255,255,9.951,8.572,71.118,11.180,136,352,63.435,9.000
182,image161.tif,52,255,255,255,9.223,7.178,93.861,9.849,14,365,66.038,7.000
183,image161.tif,60,255,255,255,10.978,6.959,52.107,11.402,245,379,37.875,7.766
184,image161.tif,66,255,255,255,9.588,8.764,73.318,10.770,521,390,68.199,9.000
185,image161.tif,78,255,255,255,10.673,9.305,101.314,11.662,898,393,120.964,9.000
186,image161.tif,51,255,255,255,9.759,6.654,32.748,10.296,242,430,29.055,7.155
187,image161.tif,52,255,255,255,9.285,7.131,152.456,9.849,194,431,156.038,7.603
188,image161.tif,60,255,255,255,9.213,8.292,0.000,9.849,251,431,156.038,8.000
189,image161.tif,64,255,255,255,9.501,8.577,76.395,11.180,243,444,79.695,9.000
190,image161.tif,79,255,255,255,10.097,9.962,152.650,11.180,635,566,153.435,10.000
191,image161.tif,228,255,255,255,23.688,12.255,43.250,26.870,164,586,45.000,14.504
192,image161.tif,89,255,255,255,11.047,10.258,60.754,11.705,93,671,109.983,10.607
193,image161.tif,70,255,255,255,9.703,9.185,93.843,10.817,1001,709,123.690,9.000
194,image163.tif,0.778,255,255,255,1.025,0.967,111.747,1.181,65,46,131.186,1.000
195,image163.tif,0.864,255,255,255,1.214,0.906,100.089,1.301,377,90,109.983,0.889
196,image163.tif,0.963,255,255,255,1.167,1.050,51.092,1.267,327,195,37.875,1.100
197,image163.tif,0.704,255,255,255,1.165,0.769,83.993,1.267,257,211,74.745,0.778
198,image163.tif,1.346,255,255,255,1.362,1.258,177.406,1.449,319,258,147.529,1.222
199,image163.tif,0.753,255,255,255,1.038,0.923,68.200,1.181,640,265,41.186,0.889
200,image163.tif,0.716,255,255,255,1.097,0.831,85.638,1.197,759,277,111.801,0.889
201,image163.tif,0.963,255,255,255,1.131,1.084,57.664,1.257,149,340,45.000,1.111
202,image163.tif,0.691,255,255,255,1.187,0.741,77.249,1.242,555,341,63.435,0.778
203,image163.tif,0.926,255,255,255,1.119,1.054,137.104,1.227,495,400,174.806,1.100
204,image163.tif,0.716,255,255,255,1.054,0.865,42.193,1.257,673,426,45.000,1.000
205,image163.tif,0.617,255,255,255,1.082,0.727,23.295,1.144,253,456,29.055,0.778
206,image163.tif,0.852,255,255,255,1.173,0.925,107.089,1.267,425,525,127.875,0.889
207,image163.tif,0.877,255,255,255,1.089,1.025,53.350,1.202,89,615,33.690,1.000
208,image165.tif,133,255,255,255,20.064,8.440,140.950,22.804,601,48,142.125,9.839
209,image165.tif,55,255,255,255,9.358,7.483,109.205,10.296,522,68,119.055,8.000
210,image165.tif,56,255,255,255,9.415,7.573,69.142,10.440,49,80,73.301,8.000
211,image165.tif,61,255,255,255,9.691,8.014,26.700,10.817,367,80,33.690,8.000
212,image165.tif,76,255,255,255,10.854,8.915,73.688,11.705,419,111,70.017,9.000
213,image165.tif,78,255,255,255,10.261,9.679,39.672,11.662,849,130,59.036,9.899
214,image165.tif,58,255,255,255,9.098,8.117,134.269,10.296,182,129,119.055,8.944
215,image165.tif,54,255,255,255,9.885,6.955,56.311,10.817,393,209,56.310,7.778
216,image165.tif,72,255,255,255,10.417,8.801,74.322,11.180,136,323,63.435,9.000
217,image165.tif,67,255,255,255,9.728,8.769,97.977,10.630,145,318,131.186,9.000
218,image165.tif,69,255,255,255,10.270,8.554,60.702,11.402,261,338,52.125,9.000
219,image165.tif,60,255,255,255,9.539,8.009,121.822,10.296,441,342,119.055,8.485
220,image165.tif,62,255,255,255,10.350,7.627,84.730,11.180,346,365,100.305,8.000
221,image165.tif,80,255,255,255,10.477,9.722,48.276,11.402,510,376,37.875,10.000
222,image165.tif,57,255,255,255,8.652,8.388,121.666,10.000,201,425,126.870,9.000
223,image165.tif,70,255,255,255,10.374,8.591,165.620,11.180,34,492,153.435,9.000
224,image165.tif,69,255,255,255,9.928,8.849,82.800,10.770,76,516,68.199,9.000
225,image165.tif,56,255,255,255,9.458,7.539,23.245,10.296,493,520,29.055,8.000
226,image165.tif,51,255,255,255,10.702,6.068,96.851,11.402,271,543,105.255,6.000
227,image165.tif,64,255,255,255,9.586,8.500,101.418,10.770,554,548,111.801,9.000
228,image165.tif,67,255,255,255,9.860,8.652,90.972,10.440,412,593,106.699,9.000
229,image165.tif,68,255,255,255,12.378,6.995,106.508,16.125,931,668,119.745,9.279
230,image165.tif,66,255,255,255,9.830,8.549,67.799,11.402,709,737,52.125,9.000
231,image167.tif,60,255,255,255,9.316,8.200,75.956,10.000,924,28,36.870,8.000
232,image167.tif,57,255,255,255,8.851,8.200,19.419,9.849,844,43,23.962,8.000
233,image167.tif,53,255,255,255,13.852,4.872,36.351,15.000,113,90,36.870,6.000
234,image167.tif,61,255,255,255,9.108,8.527,179.384,10.198,483,95,168.690,9.000
235,image167.tif,57,255,255,255,9.457,7.674,34.052,10.630,496,101,41.186,8.485
236,image167.tif,52,255,255,255,8.781,7.540,117.366,9.487,885,93,108.435,7.778
237,image167.tif,51,255,255,255,8.450,7.685,126.621,9.434,604,108,122.005,8.000
238,image167.tif,63,255,255,255,9.174,8.743,10.665,10.296,613,116,29.055,9.000
239,image167.tif,54,255,255,255,8.607,7.988,175.232,9.487,755,126,18.435,8.000
240,image167.tif,53,255,255,255,9.112,7.406,51.773,10.000,736,135,53.130,7.778
241,image167.tif,54,255,255,255,8.510,8.079,73.191,9.487,751,139,71.565,8.000
242,image167.tif,56,255,255,255,8.465,8.423,0.000,9.434,763,131,122.005,8.000
243,image167.tif,57,255,255,255,9.193,7.894,60.862,10.296,741,147,60.945,8.000
244,image167.tif,65,255,255,255,10.124,8.175,2.491,10.770,630,153,21.801,8.000
245,image167.tif,52,255,255,255,10.148,6.524,96.309,10.440,1003,172,106.699,7.000
246,image167.tif,73,255,255,255,10.099,9.203,65.376,10.817,800,212,33.690,9.000
247,image167.tif,54,255,255,255,8.997,7.642,147.338,10.000,543,240,143.130,8.000
248,image167.tif,82,255,255,255,10.350,10.087,112.465,11.402,973,287,127.875,10.000
249,image167.tif,74,255,255,255,10.492,8.981,43.386,11.180,1008,293,26.565,9.707
250,image167.tif,57,255,255,255,9.820,7.391,60.162,11.662,390,297,59.036,8.000
251,image167.tif,73,255,255,255,10.002,9.292,62.967,10.817,436,310,56.310,9.839
252,image167.tif,54,255,255,255,9.414,7.303,15.248,10.296,398,310,29.055,7.000
253,image167.tif,58,255,255,255,9.169,8.054,28.103,10.000,888,329,36.870,8.000
254,image167.tif,61,255,255,255,9.165,8.474,71.239,10.000,899,334,53.130,8.944
255,image167.tif,51,255,255,255,9.712,6.686,142.847,10.630,66,359,131.186,7.589
256,image167.tif,74,255,255,255,10.034,9.390,69.216,10.817,512,386,146.310,9.000
257,image167.tif,68,255,255,255,9.661,8.962,110.283,10.817,614,394,123.690,9.000
258,image167.tif,56,255,255,255,13.233,5.388,38.533,14.213,853,411,39.289,6.679
259,image167.tif,77,255,255,255,10.390,9.436,61.957,11.180,415,427,26.565,9.839
260,image167.tif,65,255,255,255,9.344,8.857,19.548,10.296,1012,442,29.055,9.000
261,image167.tif,73,255,255,255,10.103,9.200,113.769,10.817,1006,444,123.690,9.000
262,image167.tif,75,255,255,255,10.357,9.221,72.110,11.180,304,488,63.435,9.000
263,image167.tif,59,255,255,255,9.057,8.294,90.409,10.000,17,520,126.870,8.000
264,image167.tif,78,255,255,255,10.685,9.294,58.938,11.662,78,557,59.036,9.839
265,image167.tif,76,255,255,255,10.296,9.398,68.439,11.180,545,587,63.435,9.899
266,image167.tif,56,255,255,255,9.461,7.536,150.482,10.198,184,581,168.690,8.000
267,image167.tif,58,255,255,255,9.892,7.465,83.281,10.440,538,596,73.301,7.000
268,image167.tif,76,255,255,255,10.343,9.356,74.772,11.402,546,599,52.125,9.000
269,image167.tif,53,255,255,255,9.251,7.294,81.242,9.849,911,619,66.038,7.000
270,image167.tif,52,255,255,255,9.303,7.117,90.000,10.198,993,612,101.310,8.000
271,image167.tif,60,255,255,255,10.077,7.581,81.235,10.770,979,624,68.199,8.000
272,image167.tif,84,255,255,255,11.442,9.347,102.743,12.207,967,616,124.992,10.000
273,image167.tif,53,255,255,255,9.251,7.294,98.758,9.849,986,623,113.962,7.000
